EXTERNAL_CODE,MASTER_PINCODES_NAME,CITY,STATE,COUNTRY,NTB Urban
502215,502215,GUNTUR,ANDHRA PRADESH,INDIA,Y
510001,510001,GUNTUR,ANDHRA PRADESH,INDIA,Y
511304,511304,GUNTUR,ANDHRA PRADESH,INDIA,Y
522001,522001,GUNTUR,ANDHRA PRADESH,INDIA,Y
522002,522002,GUNTUR,ANDHRA PRADESH,INDIA,Y
522003,522003,GUNTUR,ANDHRA PRADESH,INDIA,Y
522004,522004,GUNTUR,ANDHRA PRADESH,INDIA,Y
522005,522005,GUNTUR,ANDHRA PRADESH,INDIA,Y
522006,522006,GUNTUR,ANDHRA PRADESH,INDIA,Y
522007,522007,GUNTUR,ANDHRA PRADESH,INDIA,Y
522008,522008,GUNTUR,ANDHRA PRADESH,INDIA,Y
522009,522009,GUNTUR,ANDHRA PRADESH,INDIA,Y
522010,522010,GUNTUR,ANDHRA PRADESH,INDIA,Y
522013,522013,GUNTUR,ANDHRA PRADESH,INDIA,Y
522014,522014,GUNTUR,ANDHRA PRADESH,INDIA,Y
522015,522015,GUNTUR,ANDHRA PRADESH,INDIA,Y
522016,522016,GUNTUR,ANDHRA PRADESH,INDIA,Y
522017,522017,GUNTUR,ANDHRA PRADESH,INDIA,Y
522018,522018,GUNTUR,ANDHRA PRADESH,INDIA,Y
522019,522019,GUNTUR,ANDHRA PRADESH,INDIA,Y
522020,522020,GUNTUR,ANDHRA PRADESH,INDIA,Y
522021,522021,GUNTUR,ANDHRA PRADESH,INDIA,Y
522022,522022,GUNTUR,ANDHRA PRADESH,INDIA,Y
522024,522024,GUNTUR,ANDHRA PRADESH,INDIA,Y
522026,522026,GUNTUR,ANDHRA PRADESH,INDIA,Y
522034,522034,GUNTUR,ANDHRA PRADESH,INDIA,Y
522035,522035,GUNTUR,ANDHRA PRADESH,INDIA,Y
522036,522036,GUNTUR,ANDHRA PRADESH,INDIA,Y
522050,522050,GUNTUR,ANDHRA PRADESH,INDIA,Y
522101,522101,GUNTUR,ANDHRA PRADESH,INDIA,Y
522102,522102,GUNTUR,ANDHRA PRADESH,INDIA,Y
522111,522111,GUNTUR,ANDHRA PRADESH,INDIA,Y
